iter	Passed	Remaining
422	4180	760
423	4181	749
424	4184	738
425	4198	729
426	4212	720
427	4214	709
428	4218	698
429	4231	688
430	4233	677
431	4244	668
432	4248	657
433	4257	647
434	4264	637
435	4267	626
436	4290	618
437	4308	609
438	4310	598
439	4312	588
440	4313	577
441	4316	566
442	4327	556
443	4333	546
444	4337	536
445	4362	528
446	4371	518
447	4372	507
448	4374	496
449	4390	487
450	4392	477
451	4404	467
452	4410	457
453	4443	450
454	4465	441
455	4467	431
456	4469	420
457	4488	411
458	4490	401
459	4491	390
460	4493	380
461	4505	370
462	4508	360
463	4511	349
464	4531	341
465	4538	331
466	4541	320
467	4542	310
468	4546	300
469	4550	290
470	4554	280
471	4563	270
472	4577	261
473	4579	251
474	4586	241
475	4589	231
476	4621	222
477	4623	212
478	4629	202
479	4631	192
480	4646	183
481	4648	173
482	4651	163
483	4667	154
484	4671	144
485	4700	135
486	4702	125
487	4713	115
488	4715	106
489	4716	96
490	4718	86
491	4719	76
492	4720	67
493	4723	57
494	4725	47
495	4727	38
496	4729	28
497	4731	19
498	4733	9
499	4735	0
730	28
497	4745	19
498	4747	9
499	4750	0
